onda,id,data,tipo,estrutural,celulas,de,para,movimentos,confianca,regras_ref,evidencia,motivo_ia,veredito,motivo_humano,revisor,revoga,pr
2026-09-11_arthurwelle_cirurgia,2026-09-11_arthurwelle_cirurgia#p11,2026-09-11,MOVER,false,2017:42032,36010,36009,2017:42032>36009,ALTA,R6,"1987:4212, 1995:4212, 2002:42012 e 2008:42041 (bota, cadeira de rodas, muleta, cinta, palmilha, etc.) estão em 36009. A célula de 2017 com os mesmos itens está em 36010.","Mesma lista de produtos dos anos anteriores, em outro grupo só em 2017.",aceita,,arthur,,
2026-09-11_arthurwelle_cirurgia,2026-09-11_arthurwelle_cirurgia#p12,2026-09-11,MOVER,false,2017:42012,36004,36003,2017:42012>36003,ALTA,R6,"1987:4204, 1995:4204, 2002:42004 e 2008:42024 (extração, obturação, canal, implante de dente, consulta odontológica) estão em 36003. A célula de 2017 com os mesmos itens está em 36004.",Consulta com dentista e tratamento dentário formam o grupo 36003 em todos os anos anteriores.,aceita,,arthur,,
2026-09-11_arthurwelle_cirurgia,2026-09-11_arthurwelle_cirurgia#p13,2026-09-11,MOVER,false,2017:42025,36005,36010,2017:42025>36010,ALTA,R6,"1987:4219, 1995:4219, 2002:42019 e 2008:42007 estão em 36010.",Remoção por ambulância está em outras assistências nos quatro anos anteriores.,aceita,,arthur,,
2026-09-11_arthurwelle_cirurgia,2026-09-11_arthurwelle_cirurgia#p14,2026-09-11,MOVER,false,2017:42074,36005,36010,2017:42074>36010,ALTA,R6,"1987:4202, 1995:4202, 2002:42002 e 2008:42035 estão em 36010.","Mesmo conjunto de itens, em 36010 nos quatro anos anteriores.",aceita,,arthur,,
2026-09-11_arthurwelle_cirurgia,2026-09-11_arthurwelle_cirurgia#p15,2026-09-11,MOVER,false,2008:42021;2017:42058,36005,36010,2008:42021;2017:42058>36010,MEDIA,R6;R8,"SANGUE HUMANO está em 36010 em 1987:4222, 1995:4222 e 2002:42022. Em 2008:42021 (sangue humano e serviço de hemoterapia) e 2017:42058 (hemoterapia) está em 36005.","Três anos contra dois, e a mudança não vem de mudança na POF: o item de 2008 ainda traz SANGUE HUMANO. Mover os dois anos recentes custa menos do que mover três anos (R8).",aceita,,arthur,,
2026-09-11_arthurwelle_cirurgia,2026-09-11_arthurwelle_cirurgia#p16,2026-09-11,MOVER,false,2017:42056,36010,36002,2017:42056>36002,MEDIA,R6,"1995:4225, 2002:42025 e 2008:42003 (MENSALIDADE DE CLINICA) estão em 36002. Em 2017 a célula 42056, com o mesmo item, está em 36010.","Mensalidade de clínica é pagamento recorrente por assistência, classificado com planos nos três anos em que aparece antes de 2017.",aceita,,arthur,,
2026-09-11_arthurwelle_cirurgia,2026-09-11_arthurwelle_cirurgia#p17,2026-09-11,MOVER,false,2017:42060,36008,36005,2017:42060>36005,ALTA,R6,2002:42036 e 2008:42022 (diálise e hemodiálise) estão em 36005. Em 2017 a célula está em 36008 (exames).,"Hemodiálise é tratamento, não exame, e está em 36005 nos dois anos anteriores em que aparece.",aceita,,arthur,,
2026-09-11_arthurwelle_cirurgia,2026-09-11_arthurwelle_cirurgia#p18,2026-09-11,MOVER,false,1995:4230;2002:42030;2017:42083,36008,36004,1995:4230;2002:42030;2017:42083>36004,MEDIA,R1;R6,"Em 2008:42011 e 2017:42008 exame ginecológico e pré-natal estão dentro da célula da consulta com ginecologista/obstetra, inseparáveis dela. O exame preventivo de câncer tem célula própria em 1995, 2002 e 2017, hoje em 36008.","Pela R1 o conceito de exame ginecológico/preventivo pertence ao bloco da consulta, porque em dois anos não dá para separá-lo dela. Consequência: as células com código próprio também vão para lá.",aceita,,arthur,,
2026-09-11_arthurwelle_cirurgia,2026-09-11_arthurwelle_cirurgia#p19,2026-09-11,MOVER,false,2017:42102,36008,36004,2017:42102>36004,ALTA,R6,"A célula tem um item só, CONSULTA MEDICA COM PATOLOGISTA, e está em 36008 (exames). Todas as outras consultas com especialista de 2017 estão em 36004.","É consulta médica com especialista, como as demais 40 células de consulta de 2017.",aceita,,arthur,,
2026-09-11_arthurwelle_cirurgia,2026-09-11_arthurwelle_cirurgia#p20,2026-09-11,MOVER,false,1987:2902;1987:2905;1987:2906;1987:2918;2017:29030;2017:29031,36006,36009,1987:2902;1987:2905;1987:2906;1987:2918;2017:29030;2017:29031>36009,ALTA,R6,"1995:2951/2954/2955/2966, 2002:29051/29054/29055/29066, 2008:29301/29303/29305/29309 e 2017:29029/29032 classificam material de curativo, seringa, termômetro, autodiagnóstico e bolsa de água quente em 36009. As células de 1987 e 2017 listadas estão em 36006 (serviços de cirurgia) na base vinda do Drive, sem motivo registrado (pendência base#d4).","São produtos de farmácia, não serviço de cirurgia. O destino é o grupo em que os mesmos itens estão nos anos intermediários.",aceita,,arthur,,
2026-09-11_arthurwelle_cirurgia,2026-09-11_arthurwelle_cirurgia#p21,2026-09-11,MOVER,false,1987:2903;1987:2904;1987:2913;2017:29037,36006,36010,1987:2903;1987:2904;1987:2913;2017:29037>36010,ALTA,R6,"1995:2952/2953/2961, 2002:29052/29053/29061 e 2008:29304 classificam chupeta, mamadeira e mordedor em 36010. As células de 1987 e a de 2017 estão em 36006 na base vinda do Drive.","Mesmos produtos, mesmo grupo dos anos intermediários. Observação para uma onda futura: 36010 (outras assistências à saúde) é um destino estranho para produtos de bebê, mas mudá-lo exige rever os cinco anos.",aceita,,arthur,,
2026-09-11_arthurwelle_cirurgia,2026-09-11_arthurwelle_cirurgia#p22,2026-09-11,MANTER,false,1987:4205;1987:4210;1987:4215;1995:4205;1995:4210;1995:4215;2002:42005;2002:42010;2002:42015;2002:42051;2002:42052;2002:42053;2002:42054;2008:42004;2008:42005;2008:42008;2008:42020;2008:42022;2008:42025;2008:42028;2008:42029;2008:42030;2008:42031;2008:42032;2008:42033;2008:42034;2008:42047;2017:42024;2017:42057;2017:42059;2017:42071;2017:42072;2017:42073;2017:42077;2017:42089,36005;36006,,,ALTA,R8,"Partição R1 do cenário B: estas células ficam no componente do próprio grupo (ambulatorial/vacinação, quimioterapia, radioterapia, acupuntura, massagem, hidroterapia, podólogo, nutrição enteral, diálise, cirurgia 1987-2008).",Foram examinadas e a classificação atual é a mais granular compatível com os cinco anos. Nada a mudar (R8).,aceita,,arthur,,
2026-09-11_arthurwelle_cirurgia,2026-09-11_arthurwelle_cirurgia#p23,2026-09-11,REVISAR,false,2017:42012;2017:42013;2017:42025;2017:42026;2017:42028;2017:42056;2017:42060;2017:42078,36002;36003;36005;36006;36009;36010,,,MEDIA,R6;R7,"Só no quadro 42 há 13 células de 2017 em grupo diferente do dos anos anteriores. A aba 2017 da planilha tem a coluna Procv2008 com valores errados (ex.: 4200501 CONSULTA MEDICA COM CLINICO GERAL com procv 36006 Servicos_de_cirurgia; 4200401 PLANO ODONTOLOGICO com procv 36005 Tratamento_ambulatorial), o que sugere deslocamento de linhas no PROCV que montou 2017.","O erro não é pontual do quadro 42: se o PROCV deslocou linhas, o mesmo padrão deve aparecer em outros quadros de 2017. Vale uma onda global só para 2017, comparando cada célula com a de 2008 pela tabela compara2008-17.",aceita,,arthur,,
