id,data,origem,descricao,celulas,grupos,onda_alvo,status,resolvida_em
form#48b8378f,2026-09-11,Form,Form 11/07/2026 05:04:04: MOVER | → 31003 | 5 células | sem comentário | já aplicada no master do Drive (não na v2026 local),2017:6007;2017:6010;2017:6011;2008:6012;2008:6011,31003,,resolvida,base (aplicada no master do Drive antes da importação)
form#470a34da,2026-09-11,Form,Form 11/07/2026 05:16:02: MOVER | → 40003 | 7 células | sem comentário | já aplicada no master do Drive (não na v2026 local),2002:8083;2002:8082;2002:8081;2008:8073;2008:8074;2008:8075;2008:8076,40003,,resolvida,base (aplicada no master do Drive antes da importação)
form#e2674832,2026-09-11,Form,Form 11/07/2026 05:27:12: RENOMEAR | → 31003 | nome 'Telefonia' | 0 células | sem comentário | já aplicada no master do Drive (não na v2026 local),,31003,,resolvida,base (aplicada no master do Drive antes da importação)
form#640e5bf7,2026-09-11,Form,Form 20/07/2026 01:07:31: MOVER | → 31007 | 1 células | sem comentário | já aplicada no master do Drive (não na v2026 local),2008:23025,31007,,resolvida,base (aplicada no master do Drive antes da importação)
form#ada6e27b,2026-09-11,Form,Form 20/07/2026 01:07:48: MOVER | → 37005 | 1 células | sem comentário | já aplicada no master do Drive (não na v2026 local),2017:23032,37005,,resolvida,base (aplicada no master do Drive antes da importação)
form#c3652c3e,2026-09-11,Form,Form 20/07/2026 01:13:35: MOVER | → 37003 | 1 células | sem comentário | já aplicada no master do Drive (não na v2026 local),1987:4306,37003,,resolvida,base (aplicada no master do Drive antes da importação)
form#4ce4f6c7,2026-09-11,Form,Form 20/07/2026 01:41:35: CRIAR | nome 'Gastos com viagens' | N1 '38. Recreacao_e_cultura' N2 'Recreacao_e_cultura' | 183 células | sem comentário | já aplicada no master do Drive (não na v2026 local),1987:4600;1987:4601;1987:4602;1987:4603;1987:4604;1987:4605;1987:4606;1987:4607;1995:4100;1995:4101;1995:4102;1995:4103;1995:4104;1995:4105;1995:4106;1995:4107;1987:4608;1987:4609;1987:4610;1987:4611;1987:4612;1987:4613;1987:4614;1987:4615;1987:4616;1987:4617;1987:4618;1987:4697;1987:4698;1995:4108;1995:4109;1995:4110;1995:4111;1995:4112;1995:4113;1995:4114;1995:4115;1995:4116;1995:4117;1995:4118;1995:4119;1995:4120;1995:4121;1995:4122;2002:41009;2002:41007;2002:41008;2008:41007;2008:41008;2008:41009;2008:41010;2008:41011;2008:41012;2002:41010;2017:41011;2017:41006;2017:41007;2017:41008;2017:41009;2017:41010;2017:41012;2017:41013;2017:41014;2008:41006;2002:41011;2002:41012;1995:4123;1995:4124;1995:4198;2002:41013;2002:41014;2002:41015;2002:41016;2002:41017;2008:41013;2008:41014;2008:41015;2017:41015;2017:41016;2017:41017;2008:41016;2002:41018;2002:41019;2002:41020;2002:41021;2002:41022;2002:41023;2002:41024;2002:41025;2002:41026;2002:41098;2008:41026;2008:41025;2008:41024;2008:41023;2008:41022;2008:41021;2008:41020;2008:41019;2017:41024;2017:41026;2017:41025;2017:41027;2017:41028;2017:41029;2017:41030;2017:41031;2017:41032;2017:41033;2008:41033;2017:41034;2017:41035;2017:41036;2017:41037;2008:41034;2008:41036;2008:41035;2008:41037;2008:41038;2008:41039;2008:41040;2008:41041;2008:41042;2008:41999;2017:41038;2017:41039;2017:41040;2017:41041;2017:41042;2017:41043;2017:41044;2017:41045;2017:41046;2017:41047;2017:41048;2017:41049;2017:41050;2017:41051;2017:41052;2017:41053;2017:41054;2017:41055;2017:41056;2017:41057;2017:41058;2017:41059;2017:41060;2017:41061;2017:41062;2017:41063;2017:41064;2017:41065;2017:41066;2017:41067;2017:41068;2017:41069;2017:41071;2017:41072;2017:41999;2008:41017;2008:41018;2017:41018;2017:41019;2017:41020;2017:41021;2017:41022;2017:41023;2002:23031;2002:41001;2002:41002;2002:41003;2002:41004;2002:41005;2017:41002;2017:41003;2017:41004;2017:41005;2017:41001;2008:41001;2008:41002;2008:41003;2008:41004;2008:41005,,,resolvida,base (aplicada no master do Drive antes da importação)
form#667dba4d,2026-09-11,Form,Form 20/07/2026 01:42:45: MOVER | → 37005 | 1 células | sem comentário | já aplicada no master do Drive (não na v2026 local),1987:4313,37005,,resolvida,base (aplicada no master do Drive antes da importação)
form#15b908d6,2026-09-11,Form,Form 20/07/2026 02:58:48: MOVER | → 34004 | 11 células | sem comentário | já aplicada no master do Drive (não na v2026 local),1995:4315;1995:4316;1995:4314;1995:4321;1995:4322;1995:4323;1995:4326;1995:4325;1995:4324;1995:4335;1995:4334,34004,,resolvida,base (aplicada no master do Drive antes da importação)
form#3c850232,2026-09-11,Form,Form 20/07/2026 03:00:43: MOVER | → 34004 | 15 células | sem comentário | já aplicada no master do Drive (não na v2026 local),2002:23018;2002:43009;2002:43010;2002:43011;2002:43013;2002:43024;2002:43025;2002:43027;2002:43029;2002:43034;2002:43035;2002:43036;2002:43037;2002:50005;2002:95061,34004,,resolvida,base (aplicada no master do Drive antes da importação)
form#cab757c7,2026-09-11,Form,Form 20/07/2026 03:01:11: MOVER | → 34004 | 1 células | sem comentário | já aplicada no master do Drive (não na v2026 local),2008:86061,34004,,resolvida,base (aplicada no master do Drive antes da importação)
form#f95c4ec2,2026-09-11,Form,Form 20/07/2026 03:02:00: MOVER | → 34001 | 2 células | sem comentário | já aplicada no master do Drive (não na v2026 local),2017:23024;2017:23025,34001,,resolvida,base (aplicada no master do Drive antes da importação)
form#d6613757,2026-09-11,Form,Form 20/07/2026 22:09:24: MOVER | → 37001 | 1 células | sem comentário | já aplicada no master do Drive (não na v2026 local),1987:4308,37001,,resolvida,base (aplicada no master do Drive antes da importação)
form#6e3b27c8,2026-09-11,Form,Form 20/07/2026 22:11:33: MOVER | → 37001 | 1 células | sem comentário | já aplicada no master do Drive (não na v2026 local),1987:4305,37001,,resolvida,base (aplicada no master do Drive antes da importação)
form#39bd9519,2026-09-11,Form,Form 20/07/2026 23:07:59: MOVER | → 37002 | 5 células | sem comentário | já aplicada no master do Drive (não na v2026 local),2002:49022;2002:49041;2008:49015;2008:49022;2008:49041,37002,,resolvida,base (aplicada no master do Drive antes da importação)
form#049d140d,2026-09-11,Form,Form 20/07/2026 23:33:14: MOVER | → 38005 | 3 células | sem comentário | já aplicada no master do Drive (não na v2026 local),1987:3209;1987:3212;1987:3213,38005,,resolvida,base (aplicada no master do Drive antes da importação)
form#329d6435,2026-09-11,Form,Form 20/07/2026 23:34:48: MOVER | → 40006 | 1 células | sem comentário | já aplicada no master do Drive (não na v2026 local),2017:32038,40006,,resolvida,base (aplicada no master do Drive antes da importação)
form#79438f83,2026-09-11,Form,Form 20/07/2026 23:35:14: MOVER | → 37004 | 1 células | sem comentário | já aplicada no master do Drive (não na v2026 local),2017:32017,37004,,resolvida,base (aplicada no master do Drive antes da importação)
form#d17a4908,2026-09-11,Form,Form 20/07/2026 23:35:58: MOVER | → 38003 | 1 células | sem comentário | já aplicada no master do Drive (não na v2026 local),2017:32018,38003,,resolvida,base (aplicada no master do Drive antes da importação)
form#ff378720,2026-09-11,Form,Form 20/07/2026 23:36:51: MOVER | → 38005 | 4 células | sem comentário | já aplicada no master do Drive (não na v2026 local),2017:32047;2017:32048;2017:32049;2017:32050,38005,,resolvida,base (aplicada no master do Drive antes da importação)
form#fe3cd9e8,2026-09-11,Form,Form 20/07/2026 23:37:57: MOVER | → 40006 | 8 células | sem comentário | já aplicada no master do Drive (não na v2026 local),2017:32051;2017:32052;2017:32053;2017:32054;2017:32071;2017:32072;2017:32074;2017:32086,40006,,resolvida,base (aplicada no master do Drive antes da importação)
form#8908e6b3,2026-09-11,Form,"Form 20/07/2026 23:43:03: COMENTARIO | 1 células | comentário do revisor: ""duvidas nessa categoria"" | já aplicada no master do Drive (não na v2026 local)",2017:49089,,,resolvida,base (aplicada no master do Drive antes da importação)
form#ec4086fe,2026-09-11,Form,Form 21/07/2026 08:58:14: CRIAR | nome 'Bicicleta' | N1 '34. Transporte' N2 'Transporte' | 5 células | sem comentário | já aplicada no master do Drive (não na v2026 local),1987:5103;1995:5103;2002:51003;2008:51003;2017:51006,,,resolvida,base (aplicada no master do Drive antes da importação)
form#6fbc8bd5,2026-09-11,Form,Form 21/07/2026 10:44:05: MOVER | → 44002 | 1 células | sem comentário | já aplicada no master do Drive (não na v2026 local),1995:5304,44002,,resolvida,base (aplicada no master do Drive antes da importação)
form#5d131791,2026-09-11,Form,Form 21/07/2026 10:48:08: MOVER | → 38002 | 8 células | sem comentário | já aplicada no master do Drive (não na v2026 local),2017:44003;2017:44004;2017:44005;2017:44002;2017:44001;2017:44006;2017:44007;2017:44008,38002,,resolvida,base (aplicada no master do Drive antes da importação)
form#cfd0e5d6,2026-09-11,Form,Form 21/07/2026 10:50:20: MOVER | → 38002 | 4 células | sem comentário | já aplicada no master do Drive (não na v2026 local),1995:715;2017:6010;2017:6011;2017:6016,38002,,resolvida,base (aplicada no master do Drive antes da importação)
form#21074115,2026-09-11,Form,Form 21/07/2026 10:54:34: CRIAR | nome 'Creme dental e fio dental' | N1 '35. Higiene_e_cuidados_pessoais' N2 'Higiene_e_cuidados_pessoais' | 6 células | sem comentário | já aplicada no master do Drive (não na v2026 local),2002:96001;2008:89001;2017:30013;2017:30020;1995:9601;1987:9601,,,resolvida,base (aplicada no master do Drive antes da importação)
form#620f314a,2026-09-11,Form,Form 21/07/2026 11:16:37: RENOMEAR | → 35005 | nome 'Creme_dental_e_fio_dental' | 0 células | sem comentário | já aplicada no master do Drive (não na v2026 local),,35005,,resolvida,base (aplicada no master do Drive antes da importação)
form#9c2ec8a1,2026-09-11,Form,Form 21/07/2026 11:36:36: CRIAR | nome 'Fralda descartável infantil' | N1 '35. Higiene_e_cuidados_pessoais' N2 'Higiene_e_cuidados_pessoais' | 5 células | sem comentário | já aplicada no master do Drive (não na v2026 local),2008:29314;1987:3611;1995:3611;2002:36011;2017:30017,,,resolvida,base (aplicada no master do Drive antes da importação)
form#2897ccc6,2026-09-11,Form,Form 21/07/2026 11:38:32: CRIAR | nome 'Pedagio' | N1 '34. Transporte' N2 'Transporte' | 5 células | sem comentário | já aplicada no master do Drive (não na v2026 local),1987:2309;1995:2309;2002:23009;2008:23009;2017:23020,,,resolvida,base (aplicada no master do Drive antes da importação)
form#02958fec,2026-09-11,Form,Form 21/07/2026 11:39:30: CRIAR | nome 'Oleo diesel' | N1 '34. Transporte' N2 'Transporte' | 5 células | sem comentário | já aplicada no master do Drive (não na v2026 local),2017:23017;2008:23013;2002:23013;1995:2313;1987:2313,,,resolvida,base (aplicada no master do Drive antes da importação)
form#901a97a2,2026-09-11,Form,Form 21/07/2026 11:43:21: CRIAR | nome 'Estacionamento e vaga cativa de estacionamento' | N1 '34. Transporte' N2 'Transporte' | 14 células | sem comentário | já aplicada no master do Drive (não na v2026 local),2017:23019;2008:23008;2002:23008;1995:2308;1987:2308;1995:2312;1987:2312;2002:23012;2002:50007;2008:50007;2017:50012;1987:5007;1995:5007;2008:47027,,,resolvida,base (aplicada no master do Drive antes da importação)
form#be8cea10,2026-09-11,Form,Form 21/07/2026 12:33:46: MOVER | → 34007 | 1 células | sem comentário | já aplicada no master do Drive (não na v2026 local),2008:23999,34007,,resolvida,base (aplicada no master do Drive antes da importação)
form#fe868d3f,2026-09-11,Form,Form 21/07/2026 18:54:45: CRIAR | nome 'Agua de coco' | N1 '15. Bebidas e infusões' N2 '15.2 Bebidas não alcoólicas' | 5 células | sem comentário | não aplicada no Drive,1987:9321;1995:9321;2002:93021;2008:82021;2017:82021,,,aberta,
form#78e2d7ab,2026-09-11,Form,Form 21/07/2026 18:55:54: CRIAR | nome 'Caldo de cana' | N1 '15. Bebidas e infusões' N2 '15.2 Bebidas não alcoólicas' | 5 células | sem comentário | não aplicada no Drive,1987:9320;1995:9320;2002:93020;2008:82020;2017:82020,,,aberta,
form#211b47cd,2026-09-11,Form,Form 21/07/2026 18:58:21: CRIAR | nome 'Chocolate engarrafado ou encartonado' | N1 '15. Bebidas e infusões' N2 '15.2 Bebidas não alcoólicas' | 10 células | sem comentário | não aplicada no Drive,1987:9345;1995:9345;1995:2439;2008:82112;2008:82113;2017:82112;2017:82113;2002:93045;2008:82045;2017:82045,,,aberta,
form#c49e303a,2026-09-11,Form,Form 21/07/2026 19:01:07: CRIAR | nome 'Café em grão' | N1 '15. Bebidas e infusões' N2 '15.3 Cafés' | 5 células | sem comentário | não aplicada no Drive,2017:82037;2008:82037;2002:93037;1995:9337;1987:9337,,,aberta,
form#89c7abae,2026-09-11,Form,Form 21/07/2026 19:03:35: MOVER | → 01299 | 2 células | sem comentário | não aplicada no Drive,2008:63032;2017:63032,01299,,aberta,
form#6cb165ee,2026-09-11,Form,Form 21/07/2026 19:07:22: CRIAR | nome 'Pamonha' | N1 '12. Açúcares e produtos de confeitaria' N2 '12.2 Doces e derivados' | 11 células | sem comentário | não aplicada no Drive,1987:2230;1987:6751;1995:2430;1995:6751;2002:24030;2002:67051;2008:65006;2008:69051;2017:24016;2017:65006;2017:69051,,,aberta,
form#584e8bcc,2026-09-11,Form,Form 21/07/2026 19:09:35: MOVER | → 15208 | 1 células | sem comentário | não aplicada no Drive,2008:24086,15208,,aberta,
form#200cea26,2026-09-11,Form,Form 21/07/2026 19:10:54: CRIAR | nome 'Mel de abelha' | N1 '12. Açúcares e produtos de confeitaria' N2 '12.3 Outros açucares e produtos de confeitaria' | 7 células | sem comentário | não aplicada no Drive,1987:6716;1995:6716;2002:67016;2008:69016;2017:69016;2008:69090;2017:69090,,,aberta,
form#adef62d8,2026-09-11,Form,Form 21/07/2026 19:11:31: CRIAR | nome 'Melado de cana' | N1 '12. Açúcares e produtos de confeitaria' N2 '12.3 Outros açucares e produtos de confeitaria' | 5 células | sem comentário | não aplicada no Drive,1987:6715;1995:6715;2002:67015;2008:69015;2017:69015,,,aberta,
form#0abe6e37,2026-09-11,Form,Form 21/07/2026 19:12:54: CRIAR | nome 'Gelatina' | N1 '12. Açúcares e produtos de confeitaria' N2 '12.3 Outros açucares e produtos de confeitaria' | 12 células | sem comentário | não aplicada no Drive,1987:6717;1995:6717;2002:67017;2008:69081;2017:69081;2008:24096;2008:69017;2008:69139;2017:24016;2017:24094;2017:69017;2017:69139,,,aberta,
form#1971a105,2026-09-11,Form,Form 21/07/2026 19:31:25: MOVER | → 15301 | 1 células | sem comentário | não aplicada no Drive,1995:2405,15301,,aberta,
form#7865ed40,2026-09-11,Form,Form 21/07/2026 19:43:39: MOVER | → 32001 | 12 células | sem comentário | não aplicada no Drive,1995:707;1995:709;1995:711;1995:712;1995:798;1995:909;1987:798;1987:712;1987:711;1987:710;1987:709;1987:707,32001,,aberta,
form#ae21f45e,2026-09-11,Form,Form 21/07/2026 19:48:45: MOVER | → 31007 | 5 células | sem comentário | não aplicada no Drive,2002:28055;2017:12029;2017:12028;2017:12027;2017:12026,31007,,aberta,
form#9a1e2582,2026-09-11,Form,Form 21/07/2026 19:49:23: MOVER | → 42002 | 2 células | sem comentário | não aplicada no Drive,1995:902;1995:901,42002,,aberta,
form#f7a30843,2026-09-11,Form,Form 21/07/2026 19:53:50: MOVER | → 32004 | 8 células | sem comentário | não aplicada no Drive,2002:16101;2002:16098;2002:16073;2002:16039;2008:15149;2008:15165;2008:15172;2008:15174,32004,,aberta,
form#8e7609c7,2026-09-11,Form,Form 21/07/2026 19:57:55: MOVER | → 31007 | 3 células | sem comentário | não aplicada no Drive,2002:48050;2017:48015;2008:48010,31007,,aberta,
form#4db5fd46,2026-09-11,Form,Form 21/07/2026 20:01:02: MOVER | → 42002 | 2 células | sem comentário | não aplicada no Drive,1995:800;1995:816,42002,,aberta,
form#1d1126eb,2026-09-11,Form,Form 21/07/2026 20:02:13: MOVER | → 43002 | 1 células | sem comentário | não aplicada no Drive,1995:1007,43002,,aberta,
form#c0537695,2026-09-11,Form,Form 21/07/2026 20:03:44: MOVER | → 32001 | 1 células | sem comentário | não aplicada no Drive,1995:807,32001,,aberta,
form#086dfde4,2026-09-11,Form,Form 21/07/2026 20:06:51: MOVER | → 46002 | 3 células | sem comentário | não aplicada no Drive,1987:5332;1995:5322;2008:54009,46002,,aberta,
form#21751312,2026-09-11,Form,Form 21/08/2026 17:32:19: MOVER | → 01199 | 1 células | sem comentário | não aplicada no Drive,1987:6300,01199,,aberta,
2026-09-11_arthurwelle#q1,2026-09-11,NOTAS,"NOTAS.txt e aba NOTAS: em 1987 os códigos levam a juntar Imovel_reforma (42002) com Manutenção do lar (32001), com repercussão em todos os anos (R1). 'Grande dificuldade de definir o que cai dentro de reforma ou manutenção do lar; provavelmente o ideal é agregar os dois.'",,42002;32001,,aberta,
2026-09-11_arthurwelle#q2,2026-09-11,IA,"Harmonizacao_Produtos.Rmd (2023): em 1987 a faixa 0801:0873 aparece nas listas de 42002 e de 32001; a primeira regra vence, então 42002 nunca recebe essas células em 1987. Conferir junto da pendência de reforma x manutenção.",,42002;32001,,aberta,
2026-09-11_arthurwelle#q3,2026-09-11,IA,"Harmonizacao_Produtos.Rmd (2023): o bloco de não-alimentos de 1995 é cópia das listas de códigos de 1987, embora NOTAS.txt diga que os códigos diferem entre esses anos. Auditar atribuições 31xxx–47xxx de 1995 célula a célula.",,,,aberta,
base#d1,2026-09-11,validacao,"19 célula(s) mudaram de grupo entre `HarmonizacaoProdutos_v2026.xlsx` e a base sem motivo registrado: lá 36001 (Remedios), na base 36009 (Material de tratamento). Auditar: correção legítima ou erro?",1987:2907;1987:2909;1987:2912;1987:2917;1995:2935;1995:2974;2002:29035;2002:29074;2008:29029;2008:29043;2017:29023;2017:29028;2017:29029;2017:29032;2017:29033;2017:29038;2017:29040;2017:29041;2017:29058,36001;36009,,aberta,
base#d2,2026-09-11,validacao,"17 célula(s) mudaram de grupo entre `HarmonizacaoProdutos_v2026.xlsx` e a base sem motivo registrado: lá 01103 (Outros), na base 01199 (Outros). Auditar: correção legítima ou erro?",1987:6305;1987:6310;1987:6335;1987:6337;1995:6305;1995:6310;1995:6335;1995:6337;2002:63010;2002:63032;2008:63005;2008:63010;2008:63020;2017:63005;2017:63010;2017:63020;2017:65075,01103;01199,,aberta,
base#d3,2026-09-11,validacao,"14 célula(s) mudaram de grupo entre `HarmonizacaoProdutos_v2026.xlsx` e a base sem motivo registrado: lá 01209 (Outras), na base 01299 (Outras). Auditar: correção legítima ou erro?",1987:6332;1995:6332;2008:63047;2008:63048;2008:63049;2008:69033;2008:77011;2017:63047;2017:63048;2017:63049;2017:63050;2017:63057;2017:69033;2017:77011,01209;01299,,aberta,
base#d4,2026-09-11,validacao,"10 célula(s) mudaram de grupo entre `HarmonizacaoProdutos_v2026.xlsx` e a base sem motivo registrado: lá 36001 (Remedios), na base 36006 (Servicos de cirurgia). Auditar: correção legítima ou erro?",1987:2902;1987:2903;1987:2904;1987:2905;1987:2906;1987:2913;1987:2918;2017:29030;2017:29031;2017:29037,36001;36006,,aberta,
base#d5,2026-09-11,validacao,"7 célula(s) mudaram de grupo entre `HarmonizacaoProdutos_v2026.xlsx` e a base sem motivo registrado: lá 32004 (Eletrodomesticos), na base 38006 (Gastos com viagens). Auditar: correção legítima ou erro?",2002:15034;2002:15037;2002:15054;2008:15034;2008:15037;2008:15054;2008:15123,32004;38006,,aberta,
base#d6,2026-09-11,validacao,"5 célula(s) mudaram de grupo entre `HarmonizacaoProdutos_v2026.xlsx` e a base sem motivo registrado: lá 01103 (Outros), na base 01104 (Cevada). Auditar: correção legítima ou erro?",1987:6306;1995:6306;2002:63006;2008:63006;2017:63006,01103;01104,,aberta,
base#d7,2026-09-11,validacao,"5 célula(s) mudaram de grupo entre `HarmonizacaoProdutos_v2026.xlsx` e a base sem motivo registrado: lá 01103 (Outros), na base 01105 (Trigo). Auditar: correção legítima ou erro?",1987:6309;1995:6309;2002:63009;2008:63009;2017:63009,01103;01105,,aberta,
base#d8,2026-09-11,validacao,"5 célula(s) mudaram de grupo entre `HarmonizacaoProdutos_v2026.xlsx` e a base sem motivo registrado: lá 01103 (Outros), na base 01212 (Soja em grão). Auditar: correção legítima ou erro?",2002:63030;2008:63030;2008:63037;2017:63030;2017:63037,01103;01212,,aberta,
base#d9,2026-09-11,validacao,"4 célula(s) mudaram de grupo entre `HarmonizacaoProdutos_v2026.xlsx` e a base sem motivo registrado: lá 36001 (Remedios), na base 36010 (Outras assistencia saude). Auditar: correção legítima ou erro?",1987:2908;1987:2910;1987:2915;2017:29036,36001;36010,,aberta,
base#d10,2026-09-11,validacao,"3 célula(s) mudaram de grupo entre `HarmonizacaoProdutos_v2026.xlsx` e a base sem motivo registrado: lá 32003 (Mobiliarios e artigos do lar), na base 38005 (Outras recreacao etc). Auditar: correção legítima ou erro?",1987:1665;1987:1684;1995:1651,32003;38005,,aberta,
base#d11,2026-09-11,validacao,"3 célula(s) mudaram de grupo entre `HarmonizacaoProdutos_v2026.xlsx` e a base sem motivo registrado: lá 37005 (Artigos escolares), na base 38004 (Diversoes e esportes). Auditar: correção legítima ou erro?",1987:3201;1987:3202;1987:3203,37005;38004,,aberta,
base#d12,2026-09-11,validacao,"3 célula(s) mudaram de grupo entre `HarmonizacaoProdutos_v2026.xlsx` e a base sem motivo registrado: lá 34004 (Manutencao de veiculo proprio), na base 37002 (Curso superior). Auditar: correção legítima ou erro?",1987:4302;1987:4303;1987:4304,34004;37002,,aberta,
base#d13,2026-09-11,validacao,"3 célula(s) mudaram de grupo entre `HarmonizacaoProdutos_v2026.xlsx` e a base sem motivo registrado: lá 36009 (Material de tratamento), na base 35004 (Produtos de uso pessoal). Auditar: correção legítima ou erro?",1995:2959;2002:29059;2008:29308,35004;36009,,aberta,
base#d14,2026-09-11,validacao,"3 célula(s) mudaram de grupo entre `HarmonizacaoProdutos_v2026.xlsx` e a base sem motivo registrado: lá 01103 (Outros), na base 01208 (Outros feijões). Auditar: correção legítima ou erro?",2002:63012;2008:63026;2017:63026,01103;01208,,aberta,
base#d15,2026-09-11,validacao,"3 célula(s) mudaram de grupo entre `HarmonizacaoProdutos_v2026.xlsx` e a base sem motivo registrado: lá 01103 (Outros), na base 01211 (Tremolo). Auditar: correção legítima ou erro?",2002:63027;2008:63027;2017:63027,01103;01211,,aberta,
base#d16,2026-09-11,validacao,"3 célula(s) mudaram de grupo entre `HarmonizacaoProdutos_v2026.xlsx` e a base sem motivo registrado: lá 01103 (Outros), na base 01209 (Grão de bico). Auditar: correção legítima ou erro?",2002:63028;2008:63028;2017:63028,01103;01209,,aberta,
base#d17,2026-09-11,validacao,"3 célula(s) mudaram de grupo entre `HarmonizacaoProdutos_v2026.xlsx` e a base sem motivo registrado: lá 01103 (Outros), na base 01210 (Lentilha). Auditar: correção legítima ou erro?",2002:63029;2008:63029;2017:63029,01103;01210,,aberta,
base#d18,2026-09-11,validacao,"2 célula(s) mudaram de grupo entre `HarmonizacaoProdutos_v2026.xlsx` e a base sem motivo registrado: lá 36001 (Remedios), na base 35004 (Produtos de uso pessoal). Auditar: correção legítima ou erro?",1987:2911;2017:29042,35004;36001,,aberta,
base#d19,2026-09-11,validacao,"2 célula(s) mudaram de grupo entre `HarmonizacaoProdutos_v2026.xlsx` e a base sem motivo registrado: lá 38003 (Periodicos livros e revistas), na base 38004 (Diversoes e esportes). Auditar: correção legítima ou erro?",1987:3204;1987:3205,38003;38004,,aberta,
base#d20,2026-09-11,validacao,"2 célula(s) mudaram de grupo entre `HarmonizacaoProdutos_v2026.xlsx` e a base sem motivo registrado: lá 34004 (Manutencao de veiculo proprio), na base 37001 (Cursos regulares). Auditar: correção legítima ou erro?",1987:4301;1987:4307,34004;37001,,aberta,
base#d21,2026-09-11,validacao,"2 célula(s) mudaram de grupo entre `HarmonizacaoProdutos_v2026.xlsx` e a base sem motivo registrado: lá 01209 (Outras), na base 01211 (Tremolo). Auditar: correção legítima ou erro?",1987:6327;1995:6327,01209;01211,,aberta,
