0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
2002,07,Quadro 7 - Despesas com Serviços e Taxas do Domicílio,7,,503,GAS DE BUJAO,0700503,07005,0700503,07005,,31005,31005,31005,Gas_domestico
2002,07,Quadro 7 - Despesas com Serviços e Taxas do Domicílio,7,,601,AQUISICAO DE AGUA (DOMICILIO PRINCIPAL),0700601,07006,0700601,07006,,32001,32001,32001,Manutencao_do_lar
2002,07,Quadro 7 - Despesas com Serviços e Taxas do Domicílio,7,,602,GARRAFAO DE AGUA (DOMICILIO PRINCIPAL),0700602,07006,0700602,07006,,32001,32001,32001,Manutencao_do_lar
2002,07,Quadro 7 - Despesas com Serviços e Taxas do Domicílio,7,,603,AQUISICAO DE AGUA (LITRO),0700603,07006,0700603,07006,,32001,32001,32001,Manutencao_do_lar
2002,07,Quadro 7 - Despesas com Serviços e Taxas do Domicílio,7,,701,LENHA (COMBUSTIVEL DOMESTICO) (DOMICILIO PRINCIPAL),0700701,07007,0700701,07007,,32001,32001,32001,Manutencao_do_lar
2002,07,Quadro 7 - Despesas com Serviços e Taxas do Domicílio,7,,702,LENHA (M3),0700702,07007,0700702,07007,,32001,32001,32001,Manutencao_do_lar
2002,07,Quadro 7 - Despesas com Serviços e Taxas do Domicílio,7,,801,GAS DE BUJAO PARA ILUMINACAO (DOMICILIO PRINCIPAL),0700801,07008,0700801,07008,,32001,32001,32001,Manutencao_do_lar
2002,07,Quadro 7 - Despesas com Serviços e Taxas do Domicílio,7,,901,QUEROSENE (COMBUSTIVEL DOMESTICO) (DOMICILIO PRINCIPAL),0700901,07009,0700901,07009,,32001,32001,32001,Manutencao_do_lar
2002,07,Quadro 7 - Despesas com Serviços e Taxas do Domicílio,7,,902,QUEROSENE(COMBUSTIVEL DOMESTICO) (LITRO),0700902,07009,0700902,07009,,32001,32001,32001,Manutencao_do_lar
2002,07,Quadro 7 - Despesas com Serviços e Taxas do Domicílio,7,,1001,CARVAO (COMBUSTIVEL DOMESTICO) (DOMICILIO PRINCIPAL),0701001,07010,0701001,07010,,32001,32001,32001,Manutencao_do_lar
2002,07,Quadro 7 - Despesas com Serviços e Taxas do Domicílio,7,,1002,CARVAO (KG),0701002,07010,0701002,07010,,32001,32001,32001,Manutencao_do_lar
2002,07,Quadro 7 - Despesas com Serviços e Taxas do Domicílio,7,,1101,ALCOOL (COMBUSTIVEL DOMESTICO) (DOMICILIO PRINCIPAL),0701101,07011,0701101,07011,,32001,32001,32001,Manutencao_do_lar
2002,07,Quadro 7 - Despesas com Serviços e Taxas do Domicílio,7,,1201,OLEO DIESEL (COMBUSTIVEL DOMESTICO) (DOMICILIO PRINCIPAL),0701201,07012,0701201,07012,,32001,32001,32001,Manutencao_do_lar
2002,07,Quadro 7 - Despesas com Serviços e Taxas do Domicílio,7,,1301,TELEFONE RESIDENCIAL (INTERURBANO)(DOMICILIO PRINCIPAL),0701301,07013,0701301,07013,,,,31003,Telefone_fixo
2002,07,Quadro 7 - Despesas com Serviços e Taxas do Domicílio,7,,1302,TELEFONE RESIDENCIAL (INTERURBANO),0701302,07013,0701302,07013,,,,31003,Telefone_fixo
2002,07,Quadro 7 - Despesas com Serviços e Taxas do Domicílio,7,,1401,TELEFONE RESIDENCIAL (INTERNACIONAL) (DOMICILIO PRINCIPAL),0701401,07014,0701401,07014,,,,31003,Telefone_fixo
2002,07,Quadro 7 - Despesas com Serviços e Taxas do Domicílio,7,,1402,TELEFONE RESIDENCIAL (INTERNACIONAL),0701402,07014,0701402,07014,,,,31003,Telefone_fixo
2002,07,Quadro 7 - Despesas com Serviços e Taxas do Domicílio,7,,1601,"ACESSO A INTERNET (PROVEDOR,A CABO,COMUNICACAO VIA SATELITE)(DOMICILIO PRINCIPAL",0701601,07016,0701601,07016,,31007,31007,31007,Outros_servicos_etc
2002,07,Quadro 7 - Despesas com Serviços e Taxas do Domicílio,7,,1602,ACESSO A INTERNET (DOMICILIO PRINCIPAL),0701602,07016,0701602,07016,,31007,31007,31007,Outros_servicos_etc
2002,07,Quadro 7 - Despesas com Serviços e Taxas do Domicílio,7,,1603,TAXA DE INTERNET (DOMICILIO PRINCIPAL),0701603,07016,0701603,07016,,31007,31007,31007,Outros_servicos_etc
2002,07,Quadro 7 - Despesas com Serviços e Taxas do Domicílio,7,,1604,PROVEDOR DE INTERNET (DOMICILIO PRINCIPAL),0701604,07016,0701604,07016,,31007,31007,31007,Outros_servicos_etc
2002,07,Quadro 7 - Despesas com Serviços e Taxas do Domicílio,7,,1605,COMUNICACAO A CABO INTERNET (DOMICILIO PRINCIPAL),0701605,07016,0701605,07016,,31007,31007,31007,Outros_servicos_etc
2002,07,Quadro 7 - Despesas com Serviços e Taxas do Domicílio,7,,1606,COMUNICACAO VIA SATELITE DE INTERNET (DOMICILIO PRINCIPAL),0701606,07016,0701606,07016,,31007,31007,31007,Outros_servicos_etc
2002,07,Quadro 7 - Despesas com Serviços e Taxas do Domicílio,7,,1607,"ACESSO INTERNET (PROVEDOR, A CABO, COMUN. VIA SATELITE)",0701607,07016,0701607,07016,,31007,31007,31007,Outros_servicos_etc
2002,07,Quadro 7 - Despesas com Serviços e Taxas do Domicílio,7,,1701,TV (ASSINATURA) (DOMICILIO PRINCIPAL),0701701,07017,0701701,07017,,31007,31007,31007,Outros_servicos_etc
2002,07,Quadro 7 - Despesas com Serviços e Taxas do Domicílio,7,,1702,MENSALIDADE DE TV (ASSINATURA) (DOMICILIO PRINCIPAL),0701702,07017,0701702,07017,,31007,31007,31007,Outros_servicos_etc
2002,07,Quadro 7 - Despesas com Serviços e Taxas do Domicílio,7,,1703,ASSINATURA DE TV (DOMICILIO PRINCIPAL),0701703,07017,0701703,07017,,31007,31007,31007,Outros_servicos_etc
2002,07,Quadro 7 - Despesas com Serviços e Taxas do Domicílio,7,,1704,TV (ASSINATURA),0701704,07017,0701704,07017,,31007,31007,31007,Outros_servicos_etc
2002,07,Quadro 7 - Despesas com Serviços e Taxas do Domicílio,7,,1801,GASOLINA (COMBUSTIVEL DOMESTICO) (DOMICILIO PRINCIPAL),0701801,07018,0701801,07018,,32001,32001,31007,Outros_servicos_etc
2002,07,Quadro 7 - Despesas com Serviços e Taxas do Domicílio,7,,1802,GASOLINA (LITRO),0701802,07018,0701802,07018,,32001,32001,31007,Outros_servicos_etc
2002,07,Quadro 7 - Despesas com Serviços e Taxas do Domicílio,7,,1901,RECARGA DE BATERIA (ILUMINACAO DOMICILIAR),0701901,07019,0701901,07019,,32001,32001,31007,Outros_servicos_etc
2002,07,Quadro 7 - Despesas com Serviços e Taxas do Domicílio,7,,2001,PO DE SERRA,0702001,07020,0702001,07020,,32001,32001,31007,Outros_servicos_etc
2002,07,Quadro 7 - Despesas com Serviços e Taxas do Domicílio,7,,9801,AGREGADO,0709801,07098,0709801,07098,16103,32001,32001,31007,Outros_servicos_etc
2002,08,Quadro 8 - Despesas com Manutenção e Reparos com o Domicílio,8,,101,AZULEJO E PISO,0800101,08001,0800101,08001,,32001,32001,32001,Manutencao_do_lar
2002,08,Quadro 8 - Despesas com Manutenção e Reparos com o Domicílio,8,,102,PISO,0800102,08001,0800102,08001,,32001,32001,32001,Manutencao_do_lar
2002,08,Quadro 8 - Despesas com Manutenção e Reparos com o Domicílio,8,,103,RODAPE (EXCETO DE MADEIRA),0800103,08001,0800103,08001,,32001,32001,32001,Manutencao_do_lar
2002,08,Quadro 8 - Despesas com Manutenção e Reparos com o Domicílio,8,,104,LAJOTA,0800104,08001,0800104,08001,,32001,32001,32001,Manutencao_do_lar
2002,08,Quadro 8 - Despesas com Manutenção e Reparos com o Domicílio,8,,201,"APARELHOS SANITARIOS (PIA,VASO,BIDE,BANHEIRA,ETC.)",0800201,08002,0800201,08002,,32001,32001,32001,Manutencao_do_lar
2002,08,Quadro 8 - Despesas com Manutenção e Reparos com o Domicílio,8,,202,BIDE,0800202,08002,0800202,08002,,32001,32001,32001,Manutencao_do_lar
2002,08,Quadro 8 - Despesas com Manutenção e Reparos com o Domicílio,8,,203,CONJUNTO SANITARIO,0800203,08002,0800203,08002,,32001,32001,32001,Manutencao_do_lar
2002,08,Quadro 8 - Despesas com Manutenção e Reparos com o Domicílio,8,,204,VASO SANITARIO,0800204,08002,0800204,08002,,32001,32001,32001,Manutencao_do_lar
2002,08,Quadro 8 - Despesas com Manutenção e Reparos com o Domicílio,8,,205,BANHEIRA,0800205,08002,0800205,08002,,32001,32001,32001,Manutencao_do_lar
2002,08,Quadro 8 - Despesas com Manutenção e Reparos com o Domicílio,8,,206,PECA PARA SUPORTE DE PAPEL HIGIENICO,0800206,08002,0800206,08002,,32001,32001,32001,Manutencao_do_lar
2002,08,Quadro 8 - Despesas com Manutenção e Reparos com o Domicílio,8,,207,SABONETEIRA (EXCETO DE PLASTICO),0800207,08002,0800207,08002,,32001,32001,32001,Manutencao_do_lar
2002,08,Quadro 8 - Despesas com Manutenção e Reparos com o Domicílio,8,,208,PIA,0800208,08002,0800208,08002,,32001,32001,32001,Manutencao_do_lar
2002,08,Quadro 8 - Despesas com Manutenção e Reparos com o Domicílio,8,,209,"APARELHOS SANITARIOS (PIA, VASO, BIDE, BANHEIRA, ETC)",0800209,08002,0800209,08002,,32001,32001,32001,Manutencao_do_lar
2002,08,Quadro 8 - Despesas com Manutenção e Reparos com o Domicílio,8,,301,JANELA E PORTA,0800301,08003,0800301,08003,,32001,32001,32001,Manutencao_do_lar
2002,08,Quadro 8 - Despesas com Manutenção e Reparos com o Domicílio,8,,302,PORTA,0800302,08003,0800302,08003,,32001,32001,32001,Manutencao_do_lar
2002,08,Quadro 8 - Despesas com Manutenção e Reparos com o Domicílio,8,,401,MADEIRA E TACO,0800401,08004,0800401,08004,,32001,32001,32001,Manutencao_do_lar
2002,08,Quadro 8 - Despesas com Manutenção e Reparos com o Domicílio,8,,402,TACO,0800402,08004,0800402,08004,,32001,32001,32001,Manutencao_do_lar
2002,08,Quadro 8 - Despesas com Manutenção e Reparos com o Domicílio,8,,403,CAIBRO,0800403,08004,0800403,08004,,32001,32001,32001,Manutencao_do_lar
2002,08,Quadro 8 - Despesas com Manutenção e Reparos com o Domicílio,8,,404,RIPA,0800404,08004,0800404,08004,,32001,32001,32001,Manutencao_do_lar
2002,08,Quadro 8 - Despesas com Manutenção e Reparos com o Domicílio,8,,405,SARRAFO,0800405,08004,0800405,08004,,32001,32001,32001,Manutencao_do_lar
2002,08,Quadro 8 - Despesas com Manutenção e Reparos com o Domicílio,8,,501,CIMENTO,0800501,08005,0800501,08005,,32001,32001,32001,Manutencao_do_lar
2002,08,Quadro 8 - Despesas com Manutenção e Reparos com o Domicílio,8,,502,CIMENTO BRANCO,0800502,08005,0800502,08005,,32001,32001,32001,Manutencao_do_lar
2002,08,Quadro 8 - Despesas com Manutenção e Reparos com o Domicílio,8,,503,CIMENTCOLA OU CIMENTOCOLA,0800503,08005,0800503,08005,,32001,32001,32001,Manutencao_do_lar
2002,08,Quadro 8 - Despesas com Manutenção e Reparos com o Domicílio,8,,601,TIJOLO,0800601,08006,0800601,08006,,32001,32001,32001,Manutencao_do_lar
2002,08,Quadro 8 - Despesas com Manutenção e Reparos com o Domicílio,8,,602,BLOCO DE CERAMICA,0800602,08006,0800602,08006,,32001,32001,32001,Manutencao_do_lar
2002,08,Quadro 8 - Despesas com Manutenção e Reparos com o Domicílio,8,,701,VIDRO,0800701,08007,0800701,08007,,32001,32001,32001,Manutencao_do_lar
2002,08,Quadro 8 - Despesas com Manutenção e Reparos com o Domicílio,8,,801,TINTA,0800801,08008,0800801,08008,,32001,32001,32001,Manutencao_do_lar
2002,08,Quadro 8 - Despesas com Manutenção e Reparos com o Domicílio,8,,802,VERNIZ,0800802,08008,0800802,08008,,32001,32001,32001,Manutencao_do_lar
2002,08,Quadro 8 - Despesas com Manutenção e Reparos com o Domicílio,8,,901,MATERIAL DE PINTURA EM GERAL,0800901,08009,0800901,08009,,32001,32001,32001,Manutencao_do_lar
2002,08,Quadro 8 - Despesas com Manutenção e Reparos com o Domicílio,8,,902,MASSA CORRIDA PARA PAREDE,0800902,08009,0800902,08009,,32001,32001,32001,Manutencao_do_lar
2002,08,Quadro 8 - Despesas com Manutenção e Reparos com o Domicílio,8,,903,CAL,0800903,08009,0800903,08009,,32001,32001,32001,Manutencao_do_lar
2002,08,Quadro 8 - Despesas com Manutenção e Reparos com o Domicílio,8,,904,CAL VIRGEM,0800904,08009,0800904,08009,,32001,32001,32001,Manutencao_do_lar
2002,08,Quadro 8 - Despesas com Manutenção e Reparos com o Domicílio,8,,905,ROLO DE PINTURA,0800905,08009,0800905,08009,,32001,32001,32001,Manutencao_do_lar
2002,08,Quadro 8 - Despesas com Manutenção e Reparos com o Domicílio,8,,906,LIXA DE MADEIRA,0800906,08009,0800906,08009,,32001,32001,32001,Manutencao_do_lar
2002,08,Quadro 8 - Despesas com Manutenção e Reparos com o Domicílio,8,,1001,"TORNEIRA,CANO E MATERIAL HIDRAULICO EM GERAL",0801001,08010,0801001,08010,,32001,32001,32001,Manutencao_do_lar
2002,08,Quadro 8 - Despesas com Manutenção e Reparos com o Domicílio,8,,1002,CANO,0801002,08010,0801002,08010,,32001,32001,32001,Manutencao_do_lar
2002,08,Quadro 8 - Despesas com Manutenção e Reparos com o Domicílio,8,,1003,MATERIAL HIDRAULICO,0801003,08010,0801003,08010,,32001,32001,32001,Manutencao_do_lar
2002,08,Quadro 8 - Despesas com Manutenção e Reparos com o Domicílio,8,,1004,"TORNEIRA, CANO E MATERIAL HIDRAULICO EM GERAL",0801004,08010,0801004,08010,,32001,32001,32001,Manutencao_do_lar
2002,08,Quadro 8 - Despesas com Manutenção e Reparos com o Domicílio,8,,1101,"FERRAGENS (FECHADURA,FERRO,ARAME,PREGO,ETC.)",0801101,08011,0801101,08011,,32001,32001,32001,Manutencao_do_lar
2002,08,Quadro 8 - Despesas com Manutenção e Reparos com o Domicílio,8,,1102,FECHADURA,0801102,08011,0801102,08011,,32001,32001,32001,Manutencao_do_lar
2002,08,Quadro 8 - Despesas com Manutenção e Reparos com o Domicílio,8,,1103,FERRO,0801103,08011,0801103,08011,,32001,32001,32001,Manutencao_do_lar
2002,08,Quadro 8 - Despesas com Manutenção e Reparos com o Domicílio,8,,1104,ARAME,0801104,08011,0801104,08011,,32001,32001,32001,Manutencao_do_lar
2002,08,Quadro 8 - Despesas com Manutenção e Reparos com o Domicílio,8,,1105,PREGO,0801105,08011,0801105,08011,,32001,32001,32001,Manutencao_do_lar
2002,08,Quadro 8 - Despesas com Manutenção e Reparos com o Domicílio,8,,1106,CADEADO,0801106,08011,0801106,08011,,32001,32001,32001,Manutencao_do_lar
2002,08,Quadro 8 - Despesas com Manutenção e Reparos com o Domicílio,8,,1107,RALO DE ESGOTAMENTO DE AGUA,0801107,08011,0801107,08011,,32001,32001,32001,Manutencao_do_lar
2002,08,Quadro 8 - Despesas com Manutenção e Reparos com o Domicílio,8,,1108,TELA DE ARAME,0801108,08011,0801108,08011,,32001,32001,32001,Manutencao_do_lar
2002,08,Quadro 8 - Despesas com Manutenção e Reparos com o Domicílio,8,,1109,TRILHO METALICO,0801109,08011,0801109,08011,,32001,32001,32001,Manutencao_do_lar
2002,08,Quadro 8 - Despesas com Manutenção e Reparos com o Domicílio,8,,1110,ROLAMENTO PARA PORTA,0801110,08011,0801110,08011,,32001,32001,32001,Manutencao_do_lar
2002,08,Quadro 8 - Despesas com Manutenção e Reparos com o Domicílio,8,,1111,"FERRAGENS(FECHADURA, FERRO, ARAME, PREGO, ETC)",0801111,08011,0801111,08011,,32001,32001,32001,Manutencao_do_lar
2002,08,Quadro 8 - Despesas com Manutenção e Reparos com o Domicílio,8,,1201,FIO E MATERIAL ELETRICO EM GERAL,0801201,08012,0801201,08012,,32001,32001,32001,Manutencao_do_lar
2002,08,Quadro 8 - Despesas com Manutenção e Reparos com o Domicílio,8,,1202,MATERIAL PARA INSTALACAO ELETRICA,0801202,08012,0801202,08012,,32001,32001,32001,Manutencao_do_lar
2002,08,Quadro 8 - Despesas com Manutenção e Reparos com o Domicílio,8,,1203,FIO PARA INSTALACAO ELETRICA,0801203,08012,0801203,08012,,32001,32001,32001,Manutencao_do_lar
2002,08,Quadro 8 - Despesas com Manutenção e Reparos com o Domicílio,8,,1301,"MAO-DE-OBRA (PEDREIRO,MARCENEIRO,ELETRICISTA,PINTOR,ETC.)",0801301,08013,0801301,08013,,32001,32001,32001,Manutencao_do_lar
2002,08,Quadro 8 - Despesas com Manutenção e Reparos com o Domicílio,8,,1302,PEDREIRO,0801302,08013,0801302,08013,,32001,32001,32001,Manutencao_do_lar
2002,08,Quadro 8 - Despesas com Manutenção e Reparos com o Domicílio,8,,1303,MARCENEIRO,0801303,08013,0801303,08013,,32001,32001,32001,Manutencao_do_lar
2002,08,Quadro 8 - Despesas com Manutenção e Reparos com o Domicílio,8,,1304,ELETRICISTA,0801304,08013,0801304,08013,,32001,32001,32001,Manutencao_do_lar
2002,08,Quadro 8 - Despesas com Manutenção e Reparos com o Domicílio,8,,1305,PINTOR,0801305,08013,0801305,08013,,32001,32001,32001,Manutencao_do_lar
2002,08,Quadro 8 - Despesas com Manutenção e Reparos com o Domicílio,8,,1306,"MAO DE OBRA(PEDREIRO,MARCENEIRO,ELETRICISTA,PINTOR,ETC.)",0801306,08013,0801306,08013,,32001,32001,32001,Manutencao_do_lar
2002,08,Quadro 8 - Despesas com Manutenção e Reparos com o Domicílio,8,,1307,LIMPEZA DE FOSSA,0801307,08013,0801307,08013,,32001,32001,32001,Manutencao_do_lar
2002,08,Quadro 8 - Despesas com Manutenção e Reparos com o Domicílio,8,,1401,"DEDETIZACAO,DESRATIZACAO,DESINSETIZACAO,ETC.",0801401,08014,0801401,08014,,32001,32001,32001,Manutencao_do_lar
2002,08,Quadro 8 - Despesas com Manutenção e Reparos com o Domicílio,8,,1402,DESRATIZACAO,0801402,08014,0801402,08014,,32001,32001,32001,Manutencao_do_lar
2002,08,Quadro 8 - Despesas com Manutenção e Reparos com o Domicílio,8,,1403,EXTERMINIO DE INSETOS,0801403,08014,0801403,08014,,32001,32001,32001,Manutencao_do_lar
2002,08,Quadro 8 - Despesas com Manutenção e Reparos com o Domicílio,8,,1404,DESINSETIZACAO,0801404,08014,0801404,08014,,32001,32001,32001,Manutencao_do_lar
2002,08,Quadro 8 - Despesas com Manutenção e Reparos com o Domicílio,8,,1501,"VITRIFICACAO (SINTECO,POLIURETANO,ETC.)",0801501,08015,0801501,08015,,32001,32001,32001,Manutencao_do_lar
2002,08,Quadro 8 - Despesas com Manutenção e Reparos com o Domicílio,8,,1502,SINTECO,0801502,08015,0801502,08015,,32001,32001,32001,Manutencao_do_lar
2002,08,Quadro 8 - Despesas com Manutenção e Reparos com o Domicílio,8,,1503,POLIURETANO,0801503,08015,0801503,08015,,32001,32001,32001,Manutencao_do_lar
2002,08,Quadro 8 - Despesas com Manutenção e Reparos com o Domicílio,8,,1601,REFORMA OU OBRA POR EMPREITADA,0801601,08016,0801601,08016,,32001,32001,32001,Manutencao_do_lar
2002,08,Quadro 8 - Despesas com Manutenção e Reparos com o Domicílio,8,,1602,CONSTRUCAO POR EMPREITADA,0801602,08016,0801602,08016,,32001,32001,32001,Manutencao_do_lar
2002,08,Quadro 8 - Despesas com Manutenção e Reparos com o Domicílio,8,,1603,EMPREITEIRO,0801603,08016,0801603,08016,,32001,32001,32001,Manutencao_do_lar
2002,08,Quadro 8 - Despesas com Manutenção e Reparos com o Domicílio,8,,1604,EMPREITADA,0801604,08016,0801604,08016,,32001,32001,32001,Manutencao_do_lar
2002,08,Quadro 8 - Despesas com Manutenção e Reparos com o Domicílio,8,,1605,OBRA POR EMPREITADA,0801605,08016,0801605,08016,,32001,32001,32001,Manutencao_do_lar
2002,08,Quadro 8 - Despesas com Manutenção e Reparos com o Domicílio,8,,1606,TERRAPLANAGEM (EMPREITADA),0801606,08016,0801606,08016,,32001,32001,32001,Manutencao_do_lar
2002,08,Quadro 8 - Despesas com Manutenção e Reparos com o Domicílio,8,,1607,SERVICO DE TERRAPLANAGEM (EMPREITADA),0801607,08016,0801607,08016,,32001,32001,32001,Manutencao_do_lar
2002,08,Quadro 8 - Despesas com Manutenção e Reparos com o Domicílio,8,,1701,"LICENCA PARA OBRA,PLANTA E DESEMBARACO DE DOCUMENTACAO",0801701,08017,0801701,08017,,32001,32001,32001,Manutencao_do_lar
2002,08,Quadro 8 - Despesas com Manutenção e Reparos com o Domicílio,8,,1702,PLANTA PARA OBRA,0801702,08017,0801702,08017,,32001,32001,32001,Manutencao_do_lar
2002,08,Quadro 8 - Despesas com Manutenção e Reparos com o Domicílio,8,,1703,DESEMBARACO DE DOCUMENTACAO PARA OBRA,0801703,08017,0801703,08017,,32001,32001,32001,Manutencao_do_lar
2002,08,Quadro 8 - Despesas com Manutenção e Reparos com o Domicílio,8,,1704,LICENCA PARA OBRA,0801704,08017,0801704,08017,,32001,32001,32001,Manutencao_do_lar
2002,08,Quadro 8 - Despesas com Manutenção e Reparos com o Domicílio,8,,1801,"ARTIGOS DE JARDINAGEM (PLANTA,TERRA,SEMENTE,XAXIM,ETC.)",0801801,08018,0801801,08018,,32001,32001,32001,Manutencao_do_lar
2002,08,Quadro 8 - Despesas com Manutenção e Reparos com o Domicílio,8,,1802,PLANTAS NATURAIS,0801802,08018,0801802,08018,,32001,32001,32001,Manutencao_do_lar
2002,08,Quadro 8 - Despesas com Manutenção e Reparos com o Domicílio,8,,1803,TERRA VEGETAL,0801803,08018,0801803,08018,,32001,32001,32001,Manutencao_do_lar
2002,08,Quadro 8 - Despesas com Manutenção e Reparos com o Domicílio,8,,1804,SEMENTES,0801804,08018,0801804,08018,,32001,32001,32001,Manutencao_do_lar
2002,08,Quadro 8 - Despesas com Manutenção e Reparos com o Domicílio,8,,1805,XAXIM,0801805,08018,0801805,08018,,32001,32001,32001,Manutencao_do_lar
2002,08,Quadro 8 - Despesas com Manutenção e Reparos com o Domicílio,8,,1806,VASO PARA PLANTA,0801806,08018,0801806,08018,,32001,32001,32001,Manutencao_do_lar
2002,08,Quadro 8 - Despesas com Manutenção e Reparos com o Domicílio,8,,1807,SUPORTE DE VASO,0801807,08018,0801807,08018,,32001,32001,32001,Manutencao_do_lar
2002,08,Quadro 8 - Despesas com Manutenção e Reparos com o Domicílio,8,,1808,MUDAS,0801808,08018,0801808,08018,,32001,32001,32001,Manutencao_do_lar
2002,08,Quadro 8 - Despesas com Manutenção e Reparos com o Domicílio,8,,1809,PINHEIRO (MUDA),0801809,08018,0801809,08018,,32001,32001,32001,Manutencao_do_lar
2002,08,Quadro 8 - Despesas com Manutenção e Reparos com o Domicílio,8,,1810,"ARTIGOS DE JARDINAGEM (PLANTAS, TERRA, SEMENTES, XAXIM, ETC.)",0801810,08018,0801810,08018,,32001,32001,32001,Manutencao_do_lar
2002,08,Quadro 8 - Despesas com Manutenção e Reparos com o Domicílio,8,,1901,ALUGUEL DE CARRETO PARA MATERIAL DE CONSTRUCAO,0801901,08019,0801901,08019,,32001,32001,32001,Manutencao_do_lar
2002,08,Quadro 8 - Despesas com Manutenção e Reparos com o Domicílio,8,,1902,FRETE DE MATERIAL DE CONSTRUCAO,0801902,08019,0801902,08019,,32001,32001,32001,Manutencao_do_lar
2002,08,Quadro 8 - Despesas com Manutenção e Reparos com o Domicílio,8,,1903,ALUGUEL DE CACAMBA PARA RETIRAR ENTULHOS,0801903,08019,0801903,08019,,32001,32001,32001,Manutencao_do_lar
2002,08,Quadro 8 - Despesas com Manutenção e Reparos com o Domicílio,8,,1904,RETIRADA DE ENTULHO,0801904,08019,0801904,08019,,32001,32001,32001,Manutencao_do_lar
2002,08,Quadro 8 - Despesas com Manutenção e Reparos com o Domicílio,8,,1905,CARRETO DE MATERIAL DE CONSTRUCAO,0801905,08019,0801905,08019,,32001,32001,32001,Manutencao_do_lar
2002,08,Quadro 8 - Despesas com Manutenção e Reparos com o Domicílio,8,,1906,ALUGUEL DE MATERIAL DE CONSTRUCAO,0801906,08019,0801906,08019,,32001,32001,32001,Manutencao_do_lar
2002,08,Quadro 8 - Despesas com Manutenção e Reparos com o Domicílio,8,,2001,CAIXA DE CORREIO,0802001,08020,0802001,08020,,32001,32001,32001,Manutencao_do_lar
2002,08,Quadro 8 - Despesas com Manutenção e Reparos com o Domicílio,8,,2002,CAIXA DE CORRESPONDENCIA,0802002,08020,0802002,08020,,32001,32001,32001,Manutencao_do_lar
2002,08,Quadro 8 - Despesas com Manutenção e Reparos com o Domicílio,8,,2101,LAJE PRE-MOLDADA,0802101,08021,0802101,08021,,32001,32001,32001,Manutencao_do_lar
2002,08,Quadro 8 - Despesas com Manutenção e Reparos com o Domicílio,8,,2102,LAGE PRE-MOLDADA,0802102,08021,0802102,08021,,32001,32001,32001,Manutencao_do_lar
2002,08,Quadro 8 - Despesas com Manutenção e Reparos com o Domicílio,8,,2201,"AREIA,TERRA,BARRO,SAIBRO,ETC.",0802201,08022,0802201,08022,,32001,32001,32001,Manutencao_do_lar
